text,actual_label,predicted_label,sentiment_score,translate
besok wkwkwk danantara ngeri sedep launching bbri aman,netral,negatif,-0.388057236,"tomorrow hahaha danantara is scary, the launch of bbr is safe"
apa maaf kalo breach swasta bbni sama bbri gue soal indonesia memang data,netral,negatif,-0.518029755,what sorry if the private breach bbni and bbri me about indonesia is indeed data
proyek tins ladang antm jadi salah kaef walaupun satu mulai bbri prabowo danantara protes presiden jsmr banyak enggak semua ptba gua yakin depan pengaruh sell korupsi,negatif,negatif,-0.255625969,tins project antm field become one of kaef even though one started bbri prabowo and antara protest president jsmr many not all ptba i am sure in front influence sell corruption
pening anjlok lalh banyak exit bbri beberapa wkwkw kepala hari segitu,negatif,negatif,-0.69534154,dizzy plummeting lalh many exit bbri several wkwkw head that day
dssa adro admr amrt gpso elsa excl laju asri kaef sido arto byan kija bumi bbri hero pgeo tays cleo tlkm keju map goto blta jsmr bnii bbca unvr midi imas indy bren,netral,netral,0,dssa adro admr amrt gpso elsa excl laju asri kaef sido arto byan kija bumi bbri hero pgeo tays cleo tlkm cheese map goto blta jsmr bnii bbca unvr midi imas indy bren
bbri yasalam minus awkwk,negatif,negatif,-0.891428223,bbri yasalam minus awkwk
bri bbri potensi dividen yield rpsaham,positif,positif,0.931019082,bri bbri potential dividend yield rpsaham
nih sama ketawa stream terus bbri,netral,negatif,-0.836819804,here with laughter keep streaming bbri
dokter fakyuuu boncos bbri sub hari hidup biaya,negatif,negatif,-0.402513358,doctor fakyuuu boncos bbri sub day living costs
tutup bri ngeri rencana mau bbri turun banget duit ku raib,negatif,negatif,-0.516603857,"close bri, i'm horrified that my plans for bri to go down really mean i've lost my money"
biru saham bikin mending bbri biar uptrend nya,positif,negatif,-0.708776419,blue stocks make it better for bri to keep the uptrend
kena wah nih ayo bbri support dikit,positif,negatif,-0.472699899,"wow, this is really bad, come on, give me a little support"
bmri effect ihsg bbni danantara turun bbri nyungsep,negatif,negatif,-0.872355646,bmri effect ihsg bbni danantara down bbri plunges
ekonomi ribu saham bbri stabil,netral,negatif,-0.220622494,economy thousand bbri shares stable
kak kok padahal huhu naik bbri bakalanya untung,positif,negatif,-0.295749081,"sis, why is it that even though you're riding a bbri, it's going to be profitable?"
bank saham february bbri indonesia rakyat harga hari,netral,negatif,-0.24857483,bank stock february bbri indonesia people price today
bulan akhir trend jadi management alami sering gagal kelola perintah koreksi bbri seperti down moga percaya investor miss ihsg lihat uang record marah track korupsi,negatif,negatif,-0.719332992,end of month trend so natural management often fails to manage bbri correction orders such as down hopefully trust investors miss ihsg see money angry record corruption track
pesta saham eksportir wajib persen simpan tahun dolar bbri cs,positif,negatif,-0.654033381,exporter stock party mandatory percent save year dollar bbri cs
surem buka lama bbri makin stockbit enggak,negatif,negatif,-0.796482381,i'm sure it will take a long time for bri to open stockbit or not
gede ges kc lampias jadi istri modal ganggu bbri ritel emosi hati pak bakal emosional nyangkut anak sama bayang yakin banget jumbo sekarang,negatif,negatif,-0.769934561,big ges kc lampias to be a wife capital bothers bbri retail emotional sir will be emotional about the child and the shadow is really sure jumbo now
via peluang bbri turun ancam makin,netral,negatif,-0.835233306,via bbri opportunity down threatens more
bmri buyback bumn kali bank bbni belum lebih umum susul terus gilir lanjut bbri dulu,positif,negatif,-0.265715211,bmri buyback bumn times bank bbni is not more common follow then take turns continue bbri first
buset harga bbri pas sempat ngelepasin untung makin an suram,negatif,negatif,-0.895505594,bri's price changes just as the profits are getting worse and worse
bulan ihsg moga akhir trend koreksi bbri investor respon bukan alami down negatif,negatif,negatif,-0.830496086,"ihsg month, hopefully at the end of the bbr correction trend, investors will respond without experiencing a negative downturn"
nice choice besar panen koreksi bbri later years memang,positif,negatif,-0.532114232,nice choice big harvest correction bbri later years indeed
dssa at ot tahun amrt lipat februari cuan ades kali tunai byan kija bbri maju ancurcrashkrisis portofolio sd map mtel desember bnii bbca warteg ihsg saham jo by b bren asi,netral,netral,0,dssa at ot year amrt fold february cuan ades times cash byan kija bbri advanced ancurcrashcrisis portfolio sd map mtel december bnii bbca warteg ihsg jo shares by b bren asi
bmri pulih tahan buy triliun bank catat mulai sahamsaham bbri tunjuk net percaya investor naik indonesia tanda sektor masingmasing besar uang rp performa asing bunga suku positif pasar,positif,positif,0.993716745,bmri recovers hold buy trillion bank records start bbri shares show net investor confidence up indonesia sign each sector big money rp foreign performance interest rate positive market
bbri cutloss memang waktu,negatif,negatif,-0.865691167,bbri cutloss is indeed the time
lihat bank punya jangan bbri fundamental panik konten super kuat tetap negatif,positif,positif,0.969541933,see bank have don't bbri fundamental panic super strong content remains negative
besok acan nyerok bbri kagak sempat ah hari,positif,negatif,-0.294238503,tomorrow i'm going to be scared because i don't have time for the day
aksi buy sentimen triliun hari kuat capai bbri tunjuk tlkm buka solid net energi naik sektor masingmasing ihsg uang rp performa asing tengah positif,positif,positif,0.97673581,buy sentiment action trillion strong day reaches bbri shows tlkm opens solid net energy rises each sector ihsg currency rp foreign performance is positive
bmri gera buy jadi triliun hari capai bbri bi tunjuk net naik sektor masingmasing ihsg uang rp asing turun bunga dorong suku positif utama,positif,positif,0.976209014,bmri gera buy become trillion day reach bbri bi shows net increase in each sector ihsg foreign currency rp down interest push positive rate main
anjir nih bank swasta segera bbri gue pindah makin gila,negatif,negatif,-0.937068857,"damn this private bank, i'll move soon, it's getting crazier"
positif diomongin bisnis saham pancing laba tumbuh bbri usah fundamental cuan kuat enggak tetap negatif,positif,positif,0.983829436,positive talk about stock business lures growing profits bbri try strong fundamentals not always negative
kabur terjun antri bbri mampusss offer gap down payung,negatif,negatif,-0.734494919,escape jump queue bbri mampusss offer gap down umbrella
bmri kini jual periode signifikan alami kuat pimpin catat sahamsaham bbri berita tunjuk investor naik sektor bersih ihsg uang asing,positif,positif,0.959381556,bmri now sells significant period natural strong lead record bbri shares news shows investors rise clean sector ihsg foreign currency
tlkm lembar saham lepas satu milik investor mulai bbri hilang kemarin trust hari per,negatif,negatif,-0.22471469,tlkm one share sheet belonging to investors starting from bbri lost yesterday trust day per
pgas simp lsip fwct bbri bris dooh msky sapa,netral,negatif,-0.33525217,pgas simp lsip fwct bbri bris dooh msky sapa
via bbri turun naik bbca malah,positif,negatif,-0.590536423,via bbri goes up and down bbc instead
kak cl minus bbri aku banyak enggak,negatif,negatif,-0.590406322,"sis, do i have many minus points on my bbri?"
